province_id,province_name,protected_share,mean_seismic_hazard,max_seismic_hazard,water_density_km_per_km2,dist_airport_km,road_density_km_per_km2,power_availability_mw,renewable_availability_mw,mean_ruggedness,mean_tavg,mean_srad,broadband_ftth,broadband_100,broadband_5g,crime_per_100k
ES241,Huesca,0.0879074110356769,0.045717485739211236,0.09260732,0.1603063437537173,197.78352015373108,0.09489039324847971,5838.087061877543,1612.9420756338282,247760.546875,11.75251579284668,14967.833984375,0.7588890953486976,0.7589058672477395,0.30284443623409985,3809.88619763648
ES242,Teruel,0.01072706648395956,0.029163151922152093,0.03450881,0.11790673125477882,133.02531766937668,0.10401243608362827,5895.374564571725,1638.387645038635,138570.421875,10.974006652832031,15676.1181640625,0.6387433845527919,0.6387433845527919,0.21419024103190587,2954.5706166734326
ES243,Zaragoza,0.017483253114577012,0.031848110510835866,0.07002128,0.11306010342415151,241.00115406116373,0.10028384007116374,5837.11948587637,1623.3641242106487,97642.5,13.480110168457031,15220.9248046875,0.9143471168157336,0.9150270789679962,0.7477233384987676,4141.507949799288
ES300,Madrid,0.15628662077137556,0.011018499971304708,0.01735047,0.1307111420515207,12.455632300626041,0.12477668166777181,313.8954531815564,100.37938592690901,116005.5546875,13.016195297241211,15760.6142578125,0.9848352547512386,0.9870971868872779,0.6966861492039167,5699.333210803267
ES411,Ávila,0.12023502458884408,0.010813879630409699,0.020644693,0.20076844552359313,116.78279239469299,0.12029580902380078,8171.060078491749,2195.164208534638,190898.328125,10.7167387008667,15897.0966796875,0.7088317625421493,0.7110083297129445,0.5151967911783601,4185.863580177548
ES412,Burgos,0.10073672321918331,0.02415691634779054,0.03737209,0.17917412288037232,117.78227781670861,0.10765994758993172,8116.538810421637,2157.698046772232,128808.375,10.724382400512695,14139.751953125,0.8359134823262637,0.8477591891868023,0.5055823959862995,3881.3090407085165
ES413,León,0.13712423738697505,0.02985814987660473,0.039921086,0.199186122317963,250.87410169035292,0.10835625289864842,8223.89743800993,2187.2788627392483,212067.546875,9.833537101745605,14305.3408203125,0.75936658011398,0.7622225798648813,0.48047338175332294,3804.8252722123248
ES414,Palencia,0.10010927123130621,0.020107473591967098,0.027861292,0.16992191084457853,169.34505744489147,0.10558807780700911,8262.112446987325,2205.05214136311,86666.0234375,10.799370765686035,14499.1162109375,0.7592494829941544,0.7669593232618751,0.4973939672604962,3279.7875031621556
ES415,Salamanca,0.08657053307475863,0.02661727603568995,0.040798593,0.17850018330828707,214.31853522111498,0.10592665614597091,8228.040433978813,2198.790259773194,83986.2578125,12.054960250854492,15838.048828125,0.746261269678315,0.7550103617746358,0.5137181164257466,3707.031990267819
ES416,Segovia,0.12852947390835853,0.010653166957894405,0.01694741,0.15393539964108327,87.775193312956,0.1121436370671833,8208.684256218588,2194.8489856567935,85894.7421875,10.859151840209961,15285.2314453125,0.8175349102170482,0.8179738389299773,0.401309580440897,4018.7511958670834
ES417,Soria,0.03486382303088391,0.029964138506599004,0.036658417,0.15567921945413993,152.50783089714872,0.09834500423504597,8145.6855992868905,2182.4108195145054,112779.9765625,10.169367790222168,14941.9853515625,0.7513451790348735,0.7513451790348735,0.45871093703028676,3943.927304964539
ES418,Valladolid,0.01065579788959638,0.014884612759394813,0.024551913,0.12473417000605368,167.86958950245716,0.11451160062405903,8289.306,2212.614,46507.03515625,11.96422290802002,15170.724609375,0.9301020779087268,0.9338060577263907,0.6157621919830945,3976.015146724368
ES419,Zamora,0.09454482505092836,0.028630432543631842,0.038677834,0.13279582515398347,231.49891560651835,0.09359916321527209,8199.299332894796,2188.8298625890184,89693.1640625,11.52698802947998,15178.4248046875,0.6451936905892263,0.6616137829123588,0.23251059498841642,3376.6030747770874
ES421,Albacete,0.027479199806747817,0.07102535422946729,0.13686411,0.10097823881635005,137.83043036284874,0.0900782990857407,6266.248872821555,3425.0190192414943,100185.078125,13.578145980834961,16496.84765625,0.900205610617936,0.9022311753104502,0.5380652126434131,3950.6636775224765
ES422,Ciudad Real,0.10550439676208134,0.026304030143335867,0.07052206,0.11467390544565806,172.26073268794153,0.08416421944291115,6292.762697076665,3461.624072081134,96353.75,14.565950393676758,16534.783203125,0.9017135116560205,0.9045331131824342,0.29328053696645967,3147.020717497167
