province_id,province_name,protected_share,mean_seismic_hazard,max_seismic_hazard,water_density_km_per_km2,dist_airport_km,road_density_km_per_km2,power_availability_mw,renewable_availability_mw
ES513,Lleida,0.4376426110300476,0.041219831958304864,0.07454836,0.14390627120298516,119.44270428854267,0.0994586684687571,7927.002554743344,403.12085105038733
ES514,Tarragona,0.39860045987519716,0.029295068173663345,0.03397644,0.14299664206354887,108.71825920771624,0.13810342253863986,7949.380293642921,409.82234916590335
ES521,Alicante/Alacant,0.14392055789259356,0.11228143107339764,0.18433535,0.08719405960105471,22.190170384217886,0.1162646729164509,7539.363016605898,924.4418679818124
ES522,Castellón/Castelló,0.08936035589406724,0.034032552197829295,0.04315181,0.1470922708690241,87.29633594698144,0.14151891597099583,7554.526328393592,924.0538023760029
ES523,Valencia/València,0.12181639019785831,0.05902632025302947,0.10122808,0.1364026131078243,30.764988578323496,0.11106132248104036,7552.93275701769,946.2707445021297
ES611,Almería,0.46069386625124187,0.1724872462153565,0.2517856,0.04272205853182448,38.75383657908037,0.08428922765677138,12572.173657905787,3091.841228061033
ES612,Cádiz,0.6492681296415868,0.09777186775368397,0.1343913,0.17115149701926147,57.74156030138148,0.11278183010906058,12620.462,3104.547
ES613,Córdoba,0.36492431183586255,0.057152730646781315,0.13943633,0.17934693772000268,209.96360935596206,0.0822879049414155,12548.839641745402,3098.8817669719188
ES614,Granada,0.4287898961440561,0.14781272247073213,0.17794693,0.13430831336335075,94.69234280209288,0.09054961758850139,12606.928481016617,3103.5399044806836
ES615,Huelva,0.6477564623370071,0.0724317898821906,0.13873926,0.1584646886895052,205.4028729238711,0.08816023985408607,12509.421579734179,3080.1257303674465
ES616,Jaén,0.6009099463345633,0.08332764257120819,0.15041763,0.1746563999382087,161.40278624408649,0.09042945225069544,12534.755645928071,3109.5422586872023
ES617,Málaga,0.381954136231126,0.11057581417916999,0.16447093,0.17343180761418275,92.07254864861054,0.09573274030868639,12620.462,3104.5469999999996
ES618,Sevilla,0.36524751953943424,0.06694040425444255,0.11584884,0.1707357890331736,145.37607447559935,0.10446487825875901,12601.87997854251,3100.517974668168
ES620,Murcia,0.058695302277878905,0.15255276622208294,0.28993192,0.060138227680694524,86.8354739579155,0.10113154456905835,3366.9985286800893,676.5196249942933
